t_rel,label,ms,n_persons,conf,bbox_w,bbox_h,aspect,sh_y,hip_y,sh_hip_gap,sh_hip_gap_norm,torso_angle,ank_y,kp_ok
7.11,standing,87.6,1,0.76,466,205,2.27,471,,,,,,7
7.20,standing,89.3,1,0.75,462,205,2.25,469,,,,,,7
7.28,standing,78.8,1,0.75,466,205,2.27,469,,,,,,7
7.37,standing,89.8,1,0.76,464,205,2.26,469,,,,,,7
7.46,standing,84.5,1,0.76,460,205,2.24,469,,,,,,7
7.55,standing,88.7,1,0.76,461,205,2.25,468,,,,,,7
7.64,standing,86.1,1,0.77,462,205,2.25,468,,,,,,7
7.72,standing,77.6,1,0.76,465,205,2.27,469,,,,,,7
7.80,standing,77.0,1,0.76,457,205,2.23,470,,,,,,7
7.88,standing,78.4,1,0.76,463,205,2.26,469,,,,,,7
7.96,standing,77.8,1,0.75,461,205,2.25,471,,,,,,7
8.04,standing,78.4,1,0.76,462,205,2.25,469,,,,,,7
8.18,standing,132.5,1,0.75,465,205,2.27,468,,,,,,7
8.29,standing,106.1,1,0.75,464,205,2.26,469,,,,,,7
8.40,standing,108.7,1,0.75,464,205,2.26,469,,,,,,7
8.52,standing,122.5,1,0.75,464,205,2.26,469,,,,,,7
8.62,standing,87.1,1,0.75,461,205,2.25,468,,,,,,7
8.73,standing,106.2,1,0.76,458,205,2.23,470,,,,,,7
8.85,standing,118.1,1,0.76,464,205,2.26,468,,,,,,7
8.94,standing,90.7,1,0.75,464,205,2.26,468,,,,,,7
9.03,standing,90.7,1,0.76,460,205,2.24,468,,,,,,7
9.11,standing,77.8,1,0.76,460,205,2.24,468,,,,,,7
9.20,standing,86.0,1,0.76,463,205,2.26,470,,,,,,7
9.28,standing,77.3,1,0.76,463,205,2.26,468,,,,,,7
9.37,standing,86.8,1,0.76,460,205,2.24,469,,,,,,7
9.46,standing,84.7,1,0.76,459,205,2.24,470,,,,,,7
9.55,standing,87.2,1,0.76,461,205,2.25,470,,,,,,7
9.64,standing,88.4,1,0.76,456,205,2.22,470,,,,,,7
9.73,standing,85.9,1,0.75,462,205,2.25,468,,,,,,7
9.83,standing,102.2,1,0.75,463,205,2.26,469,,,,,,7
9.94,standing,103.3,1,0.75,461,205,2.25,470,,,,,,7
10.03,standing,85.2,1,0.75,467,205,2.28,468,,,,,,7
10.10,standing,74.5,1,0.75,464,205,2.26,470,,,,,,7
10.20,standing,88.1,1,0.76,465,205,2.27,468,,,,,,7
10.27,standing,72.0,1,0.75,463,205,2.26,470,,,,,,7
10.38,standing,104.3,1,0.76,461,205,2.25,469,,,,,,7
10.49,standing,106.7,1,0.75,463,205,2.26,470,,,,,,7
10.57,standing,83.4,1,0.76,459,205,2.24,468,,,,,,7
10.68,standing,103.3,1,0.75,457,205,2.23,469,,,,,,7
10.79,standing,105.1,1,0.75,462,205,2.25,469,,,,,,7
10.88,standing,95.4,1,0.75,461,205,2.25,470,,,,,,7
10.97,standing,84.1,1,0.76,457,205,2.23,469,,,,,,7
11.06,standing,84.0,1,0.75,466,205,2.27,468,,,,,,7
11.14,standing,81.0,1,0.76,464,205,2.26,469,,,,,,7
11.22,standing,73.8,1,0.76,462,205,2.25,470,,,,,,7
11.30,standing,77.7,1,0.75,460,205,2.24,470,,,,,,7
11.38,standing,81.4,1,0.77,460,205,2.24,470,,,,,,7
11.47,standing,85.1,1,0.77,461,205,2.25,469,,,,,,7
11.55,standing,82.0,1,0.76,462,205,2.25,468,,,,,,7
11.65,standing,91.4,1,0.75,464,205,2.26,468,,,,,,7
11.73,standing,84.4,1,0.75,459,205,2.24,469,,,,,,7
11.82,standing,82.3,1,0.75,456,205,2.22,469,,,,,,7
11.92,standing,100.5,1,0.75,453,205,2.21,469,,,,,,7
12.01,standing,86.0,1,0.75,454,205,2.21,469,,,,,,7
12.12,standing,103.1,1,0.75,459,205,2.24,469,,,,,,7
12.21,standing,91.5,1,0.75,456,205,2.22,470,,,,,,7
12.30,standing,85.8,1,0.76,456,205,2.22,466,,,,,,7
12.40,standing,91.9,1,0.76,460,205,2.24,468,,,,,,7
12.47,standing,73.6,1,0.77,460,205,2.24,469,,,,,,7
12.58,standing,103.0,1,0.76,456,205,2.22,469,,,,,,7
12.67,standing,87.3,1,0.76,458,205,2.23,470,,,,,,7
12.75,standing,82.7,1,0.76,465,205,2.27,469,,,,,,7
12.85,standing,93.1,1,0.77,458,205,2.23,469,,,,,,7
12.93,standing,81.7,1,0.76,464,205,2.26,469,,,,,,7
13.02,standing,85.7,1,0.76,459,205,2.24,471,,,,,,7
13.10,standing,77.9,1,0.75,464,205,2.26,469,,,,,,7
13.19,standing,86.2,1,0.76,463,205,2.26,469,,,,,,7
13.28,standing,85.4,1,0.76,461,205,2.25,470,,,,,,7
13.36,standing,75.7,1,0.76,460,205,2.24,471,,,,,,7
13.46,standing,96.0,1,0.75,453,205,2.21,472,,,,,,7
13.58,standing,118.5,1,0.75,460,205,2.24,472,,,,,,7
13.69,standing,105.0,1,0.75,465,205,2.27,470,,,,,,7
13.79,standing,99.5,1,0.76,459,205,2.24,471,,,,,,7
13.90,standing,109.4,1,0.77,462,205,2.25,471,,,,,,7
13.99,standing,89.3,1,0.75,466,205,2.27,470,,,,,,7
14.07,standing,75.8,1,0.76,465,205,2.27,470,,,,,,7
14.17,standing,93.0,1,0.75,461,205,2.25,468,,,,,,7
14.25,standing,85.4,1,0.75,464,205,2.26,469,,,,,,7
14.34,standing,78.5,1,0.75,466,205,2.27,468,,,,,,7
14.42,standing,80.9,1,0.76,457,205,2.23,468,,,,,,7
14.51,standing,87.1,1,0.76,463,205,2.26,469,,,,,,7
14.59,standing,82.9,1,0.75,461,205,2.25,470,,,,,,7
14.68,standing,81.7,1,0.76,460,205,2.24,470,,,,,,7
14.77,standing,87.2,1,0.76,463,205,2.26,470,,,,,,7
14.86,standing,86.3,1,0.76,462,205,2.25,470,,,,,,7
14.95,standing,92.0,1,0.77,459,205,2.24,470,,,,,,7
15.03,standing,74.4,1,0.76,462,205,2.25,470,,,,,,7
15.11,standing,76.5,1,0.76,462,205,2.25,469,,,,,,7
15.19,standing,77.6,1,0.76,465,205,2.27,470,,,,,,7
15.27,standing,81.3,1,0.76,462,205,2.25,470,,,,,,7
15.35,standing,74.1,1,0.76,462,205,2.25,469,,,,,,7
15.43,standing,76.5,1,0.75,463,205,2.26,469,,,,,,7
15.50,standing,69.6,1,0.76,462,205,2.25,470,,,,,,7
15.59,standing,82.0,1,0.76,466,205,2.27,469,,,,,,7
15.67,standing,75.6,1,0.76,465,205,2.27,470,,,,,,7
15.75,standing,75.9,1,0.76,461,205,2.25,470,,,,,,7
15.83,standing,79.6,1,0.76,462,205,2.25,470,,,,,,7
15.91,standing,80.1,1,0.76,465,205,2.27,469,,,,,,7
